id|Session Duration|End State|Points|date/time
1729691540543|16,04677|Completo|0|23/10/2024 10:52:20
1729691897897|16,04607|Completo|0|23/10/2024 10:58:17
1729693214561|16,0571|Completo|0|23/10/2024 11:20:14
1729693235634|16,04993|TimeOut|0|23/10/2024 11:20:35
1729693259163|16,06969|TimeOut|0|23/10/2024 11:20:59
1729693298443|16,05425|Completo|0|23/10/2024 11:21:38
1729693340361|16,04417|Completo|0|23/10/2024 11:22:20
1729693369625|16,06657|Completo|0|23/10/2024 11:22:49
1729693617204|16,06962|TimeOut|0|23/10/2024 11:26:57
1729693710835|16,07632|Completo|0|23/10/2024 11:28:30
1729693749750|16,09056|Completo|0|23/10/2024 11:29:09
1729695119981|16,07593|Completo|0|23/10/2024 11:51:59
1729695141060|16,05807|Completo|0|23/10/2024 11:52:21
1729695168180|16,08276|Completo|0|23/10/2024 11:52:48
1729695262286|16,07717|Completo|0|23/10/2024 11:54:22
1729695377309|16,03437|Completo|0|23/10/2024 11:56:17
1729695408683|16,05312|Completo|0|23/10/2024 11:56:48
1729695442049|16,05318|Completo|0|23/10/2024 11:57:22
1729695472865|16,08211|Completo|0|23/10/2024 11:57:52
1729695500238|16,08279|Completo|0|23/10/2024 11:58:20
1729695524932|16,08371|Completo|0|23/10/2024 11:58:44
1729696349516|16,08347|Completo|0|23/10/2024 12:12:29
1729696377494|16,096|Completo|0|23/10/2024 12:12:57
1729696441930|16,05946|TimeOut|0|23/10/2024 12:14:01
1729701838288|16,06598|Completo|0|23/10/2024 13:43:58
1729702498894|16,05881|Completo|0|23/10/2024 13:54:58
1729702527487|16,07796|Completo|0|23/10/2024 13:55:27
1729702947868|16,069|TimeOut|0|23/10/2024 14:02:27
1729703174640|16,06216|Completo|0|23/10/2024 14:06:14
1729703436905|16,08383|Completo|0|23/10/2024 14:10:36
1729703535597|16,05487|Completo|0|23/10/2024 14:12:15
1729703611811|16,04683|Completo|0|23/10/2024 14:13:31
